unique_size_id,unique_color_id,color_product_id,size,size_label,20251020_142441_available,20251020_142441_discount_percent,20251020_142441_original_price,20251020_142441_price,20251021_151741_available,20251021_151741_discount_percent,20251021_151741_original_price,20251021_151741_price
PROD-149DA0B5_DEFAULT_10,PROD-149DA0B5_DEFAULT,DEFAULT,10,W 10 / M 8.5,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_10.5,PROD-149DA0B5_DEFAULT,DEFAULT,10.5,W 10.5 / M 9,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_11,PROD-149DA0B5_DEFAULT,DEFAULT,11,W 11 / M 9.5,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_11.5,PROD-149DA0B5_DEFAULT,DEFAULT,11.5,W 11.5 / M 10,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_12,PROD-149DA0B5_DEFAULT,DEFAULT,12,W 12 / M 10.5,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_5,PROD-149DA0B5_DEFAULT,DEFAULT,5,W 5 / M 3.5,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_5.5,PROD-149DA0B5_DEFAULT,DEFAULT,5.5,W 5.5 / M 4,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_6,PROD-149DA0B5_DEFAULT,DEFAULT,6,W 6 / M 4.5,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_6.5,PROD-149DA0B5_DEFAULT,DEFAULT,6.5,W 6.5 / M 5,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_7,PROD-149DA0B5_DEFAULT,DEFAULT,7,W 7 / M 5.5,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_7.5,PROD-149DA0B5_DEFAULT,DEFAULT,7.5,W 7.5 / M 6,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_8,PROD-149DA0B5_DEFAULT,DEFAULT,8,W 8 / M 6.5,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_8.5,PROD-149DA0B5_DEFAULT,DEFAULT,8.5,W 8.5 / M 7,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_9,PROD-149DA0B5_DEFAULT,DEFAULT,9,W 9 / M 7.5,True,19.0,100.0,80.97,,,,
PROD-149DA0B5_DEFAULT_9.5,PROD-149DA0B5_DEFAULT,DEFAULT,9.5,W 9.5 / M 8,True,19.0,100.0,80.97,,,,
PROD-2F8A4AA5_DEFAULT_HQ7978-102_10,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,10,M 10 / W 11.5,,,,,True,0,215,215
PROD-2F8A4AA5_DEFAULT_HQ7978-102_10.5,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,10.5,M 10.5 / W 12,,,,,True,0,215,215
PROD-2F8A4AA5_DEFAULT_HQ7978-102_11,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,11,M 11 / W 12.5,,,,,True,0,215,215
PROD-2F8A4AA5_DEFAULT_HQ7978-102_11.5,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,11.5,M 11.5 / W 13,,,,,True,0,215,215
PROD-2F8A4AA5_DEFAULT_HQ7978-102_12,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,12,M 12 / W 13.5,,,,,True,0,215,215
PROD-2F8A4AA5_DEFAULT_HQ7978-102_12.5,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,12.5,M 12.5 / W 14,,,,,True,0,215,215
PROD-2F8A4AA5_DEFAULT_HQ7978-102_13,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,13,M 13 / W 14.5,,,,,True,0,215,215
PROD-2F8A4AA5_DEFAULT_HQ7978-102_14,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,14,M 14 / W 15.5,,,,,True,0,215,215
PROD-2F8A4AA5_DEFAULT_HQ7978-102_15,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,15,M 15 / W 16.5,,,,,False,0,215,215
PROD-2F8A4AA5_DEFAULT_HQ7978-102_16,PROD-2F8A4AA5_DEFAULT_HQ7978-102,HQ7978-102,16,M 16 / W 17.5,,,,,False,0,215,215
